task_name,author_name,author_email,author_github_handle,pr_number,estimated time for a human to complete the task (in minutes)
setup-fuzzing-py,Andrew Kim,contributor29@skillsbench.test,contributor-29,50,120
pedestrian-traffic-counting,Mark Thompson,contributor30@skillsbench.test,contributor-30,586,5
mhc-layer-impl,Tina Chang,contributor31@skillsbench.test,contributor-31,155,300
threejs-structure-parser,Jason Reed,contributor32@skillsbench.test,contributor-32,564,300
threejs-to-obj,Jason Reed,contributor32@skillsbench.test,contributor-32,562,100
offer-letter-generator,Amanda Foster,contributor33@skillsbench.test,contributor-33,51,30
paper-anonymizer,Amanda Foster,contributor33@skillsbench.test,contributor-33,235,30
pg-essay-to-audiobook,Amanda Foster,contributor33@skillsbench.test,contributor-33,161,60
fix-erlang-ssh-cve,Paul Zhang,contributor34@skillsbench.test,contributor-34,471,1200
flink-query,Paul Zhang,contributor34@skillsbench.test,contributor-34,207,240
jpg-ocr-stat,Paul Zhang,contributor34@skillsbench.test,contributor-34,117,10
lean4-proof,Paul Zhang,contributor34@skillsbench.test,contributor-34,103,240
lab-unit-harmonization,Rachel Kim,contributor35@skillsbench.test,contributor-35,177,1200
video-filler-word-remover,Ivan Lee,contributor36@skillsbench.test,contributor-36,147,120
video-tutorial-indexer,Ivan Lee,contributor36@skillsbench.test,contributor-36,222,60
cli-config-linter,Olivia Martinez,contributor37@skillsbench.test,contributor-37,601,95
api-rate-limiter,Olivia Martinez,contributor37@skillsbench.test,contributor-37,602,105
log-rotation-monitor,Derek Wu,contributor38@skillsbench.test,contributor-38,603,98
wetland-water-balance,Hannah Park,contributor39@skillsbench.test,contributor-39,604,490
climate-ensemble-forecast,Carlos Rivera,contributor40@skillsbench.test,contributor-40,605,505
regex-crossword-solver,Carlos Rivera,contributor40@skillsbench.test,contributor-40,606,95
